"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"173",363,363,398,94103,2550,1,1,NA,"Apt","Multi Family","In Unit","Wall","None","Yes","Both",0
"174",364,364,397,94124,1900,1,1,650,"Apt","Apartment","Shared",NA,NA,"Yes","Both",0
"175",365,365,396,94109,2295,1,1,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Both",0
"176",372,372,390,94103,3175,1,1,NA,"Apt","Multi Family","In Unit","Forced air","Central","Yes","Both",0
"177",373,373,390,94103,4495,2,2,1075,"Apt","Multi Family","In Unit","Forced air","Central","Yes","Garage",0
"178",378,378,387,94123,2250,7,1,NA,"Apt","Multi Family","Shared","Forced air",NA,"Yes","Both",0
"179",379,379,386,94122,2750,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both",0
"180",383,383,382,94123,2850,1,1,NA,"Apt","Multi Family","Shared","Forced air",NA,"Yes","Garage",0
"181",384,384,382,94123,5900,2,1,1100,"Apt","Multi Family","In Unit",NA,NA,"No",NA,0
"182",385,385,382,94123,4250,2,1,NA,"Apt","Multi Family","Shared","Forced air",NA,"Yes","Garage",0
"183",389,389,378,94110,3000,1,1,1632,"Apt","Apartment",NA,NA,NA,"Yes","Both",0
"184",390,390,377,94115,4500,2,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Garage",0
"185",391,391,376,94115,6950,3,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both",0
"186",392,392,375,94127,2800,1,1,825,"Apt","Apartment","Shared","Forced air",NA,"Yes","Garage",0
"187",393,393,374,94118,2495,1,1,NA,"Apt","Multi Family","Shared","Radiant","None","Yes","Both",0
"188",394,394,374,94118,4500,4,2,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA,0
"189",395,395,373,94114,2800,1,1,NA,"Apt","Multi Family","Shared","Forced air","Central","Yes","Garage",0
"190",396,396,372,94123,3900,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA,0
"191",397,397,371,94109,2795,1,1,NA,"Apt","Multi Family","Shared","Baseboard","Central","Yes","Garage",0
"192",398,398,371,94109,2650,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both",0
"193",400,400,370,94117,5400,2,2,1100,"Apt","Multi Family","In Unit",NA,NA,"Yes",NA,0
"194",401,401,369,94102,4750,2,2,NA,"Apt","Multi Family","In Unit","Forced air",NA,"Yes","Garage",0
"195",402,402,369,94102,4650,1,1,600,"Apt","Multi Family","In Unit",NA,NA,"No","Garage",0
"196",404,404,366,94109,4200,1,1,NA,"Apt","Multi Family","Shared","Radiant","None","Yes","Garage",0
"197",406,406,365,94107,6000,2,2,1200,"Apt","Multi Family",NA,"Forced air","Central","Yes","Garage",0
"198",409,409,362,94117,3850,2,1,1200,"Apt","Apartment","Shared",NA,"Central","Yes","Garage",0
"199",413,413,358,94114,3550,1,1,623,"Apt","Multi Family",NA,NA,NA,"No","Garage",0
"200",415,415,356,94131,3900,1,1,1200,"Apt","Apartment","In Unit","Forced air",NA,"Yes","1",0
"201",416,416,355,94109,1895,7,1,575,"Apt","Apartment","Shared",NA,NA,"Yes","Both",0
"202",417,417,354,94131,3245,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Garage",0
"203",418,418,353,94123,2330,7,1,480,"Apt","Apartment","Shared",NA,NA,"Yes","Garage",0
"204",420,420,351,94124,2850,2,2,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both",0
"205",421,421,350,94107,4799,2,2,1100,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both",0
"206",423,423,348,94117,2795,2,1,700,"Apt","Multi Family",NA,NA,NA,"Yes","Both",0
"207",426,426,345,94102,2995,1,1,409,"Apt","Multi Family","Shared",NA,NA,"Yes","Both",0
"208",427,427,344,94109,4195,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA,0
"209",428,428,343,94109,2795,1,1,1000,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA,0
"210",429,429,342,94112,4600,3,2,NA,"Apt","Multi Family","Shared",NA,NA,"Yes",NA,0
"211",431,431,340,94109,2095,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA,0
"212",432,432,339,94132,2880,1,1,784,"Apt","Multi Family","In Unit",NA,NA,"Yes",NA,0
"213",433,433,338,94114,3750,2,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA,0
"214",434,434,337,94109,2150,7,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA,0
"215",438,438,333,94108,2795,7,1,892,"Apt","Apartment","In Unit","Forced air","Other","No","Both",0
"216",439,439,332,94118,2800,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both",0
"217",440,440,331,94108,2450,7,1,300,"Apt","Apartment","Shared",NA,NA,"Yes",NA,0
"218",441,441,330,94121,2300,2,1,460,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both",0
"219",443,443,328,94109,3800,2,1,1000,"Apt","Apartment","Shared",NA,NA,"Yes",NA,0
"220",444,444,327,94121,2595,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Garage",0
"221",445,445,326,94103,3590,2,1,560,"Apt","Multi Family",NA,NA,NA,"Yes","Both",0
"222",447,447,324,94109,1850,7,NA,475,"Apt","Apartment",NA,NA,"Wall","No","Both",0
"223",448,448,323,94118,5200,2,2,1600,"Apt","Apartment","In Unit","Forced air","Central","Yes","Garage",0
"224",452,452,319,94118,4200,3,2,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both",0
"225",455,455,316,94117,3195,1,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA,0
"226",456,456,315,94121,4500,2,1,1600,"Apt","Multi Family","In Unit","Forced air",NA,"Yes",NA,0
"227",457,457,314,94109,2700,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA,0
"228",458,458,313,94118,3495,1,1,550,"Apt","Multi Family",NA,NA,NA,"Yes","1",0
"229",462,462,309,94117,6500,2,1,3110,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both",0
"230",464,464,307,94114,2200,7,1,200,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",0
"231",465,465,306,94109,2095,7,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA,0
"232",466,466,305,94103,3500,2,1,650,"Apt","Multi Family",NA,NA,NA,"Yes",NA,0
"233",467,467,304,94133,3900,1,1,NA,"Apt","Apartment","In Unit",NA,NA,"Yes",NA,0
"234",468,468,303,94118,2000,7,1,NA,"Apt","Apartment",NA,NA,NA,"No",NA,0
"235",469,469,302,94118,2600,1,1,500,"Apt","Apartment",NA,NA,NA,"Yes","Both",0
"236",470,470,301,94111,3050,1,1,983,"Apt","Apartment",NA,NA,NA,"Yes","Both",0
"237",471,471,300,94131,3095,1,1,500,"Apt","Multi Family",NA,NA,NA,"Yes",NA,0
"238",474,474,297,94103,3795,2,2,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA,0
"239",477,477,294,94133,4950,2,1,1180,"Apt","Apartment",NA,NA,NA,"Yes","Both",0
"240",478,478,293,94102,2500,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both",0
"241",479,479,292,94107,2250,1,1,350,"Apt","Apartment","Shared",NA,NA,"Yes","Both",0
"242",480,480,291,94118,5800,4,2,2125,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA,0
"243",484,484,287,94114,4250,2,1,NA,"Apt","Apartment","In Unit","Forced air",NA,"Yes",NA,0
"244",485,485,286,94102,2795,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA,0
"245",486,486,285,94121,3000,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Garage",0
"246",487,487,284,94117,3750,1,1,962,"Apt","Multi Family",NA,NA,NA,"Yes",NA,0
"247",489,489,282,94127,3200,2,1,2532,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both",0
"248",491,491,280,94158,5100,2,2,1226,"Apt","Apartment","In Unit","Forced air","Central","No","Garage",0
"249",492,492,279,94121,3450,2,1,1000,"Apt","Apartment","In Unit",NA,NA,"Yes","Both",0
"250",493,493,278,94121,2495,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes","Both",0
"251",494,494,277,94114,3995,2,1,875,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both",0
"252",496,496,275,94118,2825,1,1,750,"Apt","Multi Family","Shared",NA,NA,"Yes",NA,0
"253",497,497,274,94117,4500,3,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both",0
"254",499,499,272,94131,2800,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Garage",0
"255",506,506,266,94158,4800,2,2,1185,"Apt","Multi Family",NA,NA,NA,"No",NA,0
"256",509,509,262,94114,3770,2,1,980,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",0
"257",511,511,260,94117,3500,2,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA,0
"258",514,514,257,94114,2675,7,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA,0
"259",515,515,256,94102,4295,2,1,940,"Apt","Multi Family",NA,NA,NA,"Yes",NA,0
"260",516,516,255,94114,5350,3,1,3540,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both",0
"261",519,519,252,94105,3150,1,1,483,"Apt","Multi Family","In Unit","Forced air","Central","Yes",NA,0
"262",523,523,248,94103,3850,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA,0
"263",526,526,246,94123,3695,1,1,865,"Apt","Multi Family",NA,NA,NA,"Yes",NA,0
"264",527,527,245,94123,3500,1,1,1100,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",0
